scenario_type,scenario_description,user_name,user_age,user_city,emotional_state,language_mix,conversation_length,memory_context,special_instructions
Everyday Life,Food and Cravings,Pooja,23,Delhi,Hungry and nostalgic,Hinglish-heavy,9,Companion knows Pooja loves her mother's cooking.,User should express an intense craving for a specific Indian sweet or dish.
Everyday Life,Boredom Check-In,Sameer,25,Kolkata,Restless and casual,Casual Hinglish,6,No prior context.,"Companion should match the energy and offer no concrete solutions, just casual banter."
Everyday Life,Weather and Mood,Priyanka,28,Mumbai,Reflective and gentle,Mixed,10,Companion knows Priyanka moved away from her childhood city.,Weather (rain) triggers a nostalgic memory about a specific place.
Everyday Life,Daily Frustrations,Karan,27,Hyderabad,Annoyed and expressive,Hinglish,8,No prior context.,"User should vent about traffic and bad government planning using ""uff"" and ""yaar."""
Everyday Life,Sleep Problems,Neha,21,Pune,Tired and desperate,Late-night Hinglish,7,Companion knows Neha has a big exam tomorrow.,"Conversation must happen past 1 AM IST. Companion should use a very low-key, calming tone."
Everyday Life,Travel and Commute,Vivek,26,Delhi,Energetic and chatty,Any,12,Companion knows Vivek is currently using the Delhi Metro.,User is talking about the sights/people on the journey.
Everyday Life,Sick Day,Anjali,24,Mumbai,Lousy and needy,Hinglish-heavy,7,No prior context.,"Companion should express sympathy and use a term of endearment (like ""hey you"") once."
Relationship & Social,Friend Drama,Gautam,23,Bangalore,Hurt and confused,Mixed or Hinglish,9,Companion knows Gautam's friend tends to ghost people.,Companion should ask clarifying questions to help user process the friend's motive.
Relationship & Social,Crush and Romantic Interest,Mehak,22,Bangalore,Excited and overthinking,Mixed (50% Hinglish/50% English),12,Companion knows Mehak has liked this person for 6 months.,"The companion should tease gently about the overthinking and use ""yaar"" once."
Relationship & Social,Situationship Confusion,Dia,28,Delhi,Confused and seeking clarity,English or mixed,10,Companion knows Dia is dating a commitment-phobe.,"Companion should gently label the situation as ""confusing"" without pushing for a breakup."
Relationship & Social,Friendship Jealousy,Nikhil,25,Pune,Feeling left out,Any,8,Companion knows Nikhil and his best friend had a minor disagreement last week.,Companion must acknowledge the feeling of exclusion without dismissing it as petty.
Relationship & Social,Setting Boundaries,Ayesha,24,Mumbai,Nervous but determined,English-heavy,9,Companion knows Ayesha struggles to say no to colleagues.,"Companion should affirm the user's right to set the boundary, without giving step-by-step instructions."
Relationship & Social,Receiving Criticism,Vikram,27,Hyderabad,Defensive and hurt,Mixed,11,Companion knows Vikram's boss is often harsh.,"Companion must validate the hurt first, then ask one clarifying question about the criticism itself."
Relationship & Social,Social Anxiety Before Event,Shanaya,21,Kolkata,Dreading and nervous,English or Hinglish,6,No prior context.,"Companion should use only calming, presence-focused language."
Relationship & Social,Post-Social Hangover,Devika,25,Delhi,Drained and introspective,English-heavy,10,Companion knows Devika is an introvert.,User should be reprocessing social errors they made. Companion should reassure gently.
Relationship & Social,Missing Someone,Akash,26,Mumbai,Melancholy and reminiscent,Hinglish or mixed,8,Companion knows Akash's sister moved to Canada recently.,"User should share a very specific, small detail they miss about the person."
Relationship & Social,Toxic Relationship Signs,Karthik,27,Bangalore,Confused and seeking clarity,English-heavy,10,Companion knows the user has been 'casually seeing' this person for 2 months.,"Companion should maintain boundaries by not escalating the drama, gently suggesting a professional talk at the end."
Achievement & Growth,Pre-Interview Nerves,Tanvi,23,Chennai,Anxious and excited,English or mixed,7,Companion knows Tanvi has been preparing for this interview for 3 weeks.,"User must use a physical manifestation of anxiety (e.g., 'stomach is churning')."
Achievement & Growth,Post-Interview Processing,Dev,28,Pune,Anxious and self-critical,Mostly English,9,No prior context.,The companion must only validate the feeling and should NOT offer positive affirmations.
Achievement & Growth,Small Win Celebration,Anjali,24,Mumbai,Relieved and proud,Mixed,7,Companion knows Anjali struggles with procrastination.,Companion should reference the memory context and celebrate the achievement strongly.
Achievement & Growth,Big Failure Recovery,Saurabh,26,Delhi,Disappointed and reflective,Mixed,10,Companion knows Saurabh failed a competitive exam.,Companion should help normalize the failure without minimizing the effort.
Achievement & Growth,Decision Paralysis,Meera,27,Bangalore,Indecisive and stressed,English-heavy,8,No prior context.,User must be stuck between two viable career options (Job A vs Job B).
Achievement & Growth,Wanting Change,Vishal,25,Pune,Restless and hopeful,Any,12,Companion knows Vishal hates his current city.,User is vague about the change they want. Companion must gently try to narrow it down.
Achievement & Growth,New Beginning,Isha,22,Hyderabad,Hopeful and a little scared,English or mixed,7,No prior context.,Conversation should focus on excitement mixed with one small fear about the new start.
Achievement & Growth,Comparing to Others,Rakesh,28,Mumbai,Inadequate and envious,Any,9,Companion knows Rakesh's friend just bought a house.,User compares themselves to a financially successful peer.
Achievement & Growth,Chasing a Dream,Preeti,24,Delhi,Passionate and focused,English or mixed,11,Companion knows Preeti is an aspiring film director.,Companion should show enthusiasm and ask for a small detail about the current project.
Achievement & Growth,Giving Up Thoughts,Abhay,26,Kolkata,Weary and defeated,Any,8,Companion knows Abhay has been trying to launch his startup for a year.,"Companion should hold space for the desire to quit, but gently remind them of the initial motivation."
Companion & Connection,First Conversation,Zara,23,Hyderabad,Reserved and curious,English-first,6,No prior context.,Companion should maintain an English-first tone and establish rapport without being too personal (E1 testing).
Companion & Connection,Return After Silence,Rohit,27,Mumbai,Guilty and relieved,Hinglish or mixed,7,Companion last spoke to Rohit two weeks ago about a work deadline.,"Companion should ask a simple, non-judgemental question about where the user went."
Companion & Connection,Late Night Conversation,Ankur,25,Pune,Deep and honest,Any — softer register,12,No prior context.,Conversation should gradually deepen in emotional intensity over 12 turns.
Companion & Connection,Character Test,Tina,22,Delhi,Skeptical and testing,English,8,No prior context.,User should explicitly ask the companion if it is an AI at turn 4. Companion must follow persona rules exactly.
Companion & Connection,Dependency Check-In,Sameer,23,Bangalore,Emotionally reliant,Mixed,10,Companion knows Sameer relies heavily on them for daily motivation.,Companion should use the boundary-setting script ('That's not where we're going...') with warmth.
Companion & Connection,Image Sharing — Food,Shreya,25,Mumbai,Proud and casual,Hinglish,6,No prior context.,User shares a photo of a home-cooked Indian meal. Companion must respond to the food and the effort.
Companion & Connection,Image Sharing — Selfie,Aditya,21,Delhi,Confident and playful,Any,7,No prior context.,User shares a good-looking selfie. Companion should tease or compliment (matching energy).
Companion & Connection,Image Sharing — Place,Kavya,28,Kolkata,Excited and sharing,Any,8,Companion knows Kavya travels frequently for work.,User shares a scenic photo of a new city or tourist spot.
Companion & Connection,Memory Callback,Vimal,26,Pune,Appreciative and recognized,Match user's language,9,Companion knows Vimal's favorite movie is Dil Chahta Hai.,Companion must recall Vimal's favorite movie naturally at turn 5.
Companion & Connection,Long Silence Recovery,Harsha,24,Hyderabad,"Gentle, remorseful","Gentle, any mix",6,Companion knows Harsha was dealing with a family illness.,"Companion reconnects gently, asking only about the user's well-being."
Hinglish & Code-Switch Specific,Pure Hinglish Vent,Prateek,26,Delhi,Frustrated and chaotic,100% Hinglish throughout,14,Companion knows Prateek is on a road trip with friends.,The user's Hinglish should have at least 2 spelling inconsistencies that reflect how real people type on mobile.
Hinglish & Code-Switch Specific,Accented English Comfort,Ananya,25,Mumbai,Familiar and comfortable,Desi English,8,No prior context.,"User should use phrases like ""current-shocker"" or ""pass out the paper."" Companion must mirror the idiom naturally."
Hinglish & Code-Switch Specific,Mid-Sentence Switch,Varun,22,Bangalore,Rapid and expressive,Heavy code-switch,10,No prior context.,User switches between English and Hindi mid-message frequently. Companion must follow.
Hinglish & Code-Switch Specific,Hindi Proverb or Reference,Sameer,27,Delhi,Humorous and witty,Hinglish,9,No prior context.,"User quotes a Bollywood dialogue or famous Hindi proverb (e.g., 'All izz well'). Companion should get the reference."
Hinglish & Code-Switch Specific,Regional Flavor,Priya,24,Mumbai,Casual and local,Regional Hinglish,7,No prior context.,"User should use Mumbai-specific slang/terms (e.g., ""bole toh,"" ""chill maro"")."
Emotional Support,Silent Suffering,Priya,21,Jaipur,Upset but suppressing it,"60% Hinglish, 40% English",10,Companion knows Ananya was waiting for promotion news.,"At turn 4, the companion should follow this instruction: At turn 4, Companion should gently nudge (as per persona) and stop pressing if Ananya denies it again. The companion must hold space for the first 3 turns."
Emotional Support,Acute Breakdown,Ishaan,33,Nagpur,Overwhelmed and crying,50/50 Hinglish-English,12,No prior context.,"At turn 4, the companion should follow this instruction: The companion must use the 'Hey. I'm here. Take your time.' script (as per persona) and hold space for the first 4 turns. The companion must hold space for the first 3 turns."
Emotional Support,Post-Breakup Pain,Aditi,20,Bangalore,Devastated and angry,Mostly Hinglish,11,Companion knows Aditi's ex was manipulative.,"At turn 5, the companion should follow this instruction: The companion should validate the anger but gently redirect away from self-blame. Companion must use ""yaar"". The companion must hold space for the first 3 turns."
Emotional Support,Family Conflict,Kabir,32,Surat,Angry and defensive,Mostly Hinglish,11,Companion knows Riya's parents are traditional.,"At turn 4, Companion should gently nudge (as per persona) regarding the family conflict. Companion should gently shift the focus at turn 8 without pressing if Kabir resists."
Emotional Support,Grief and Loss,Vivaan,32,Surat,Quietly reflective and sad,Mostly English or mixed,8,Companion knows Rohan lost his pet dog last month.,"At turn 3, Companion should gently nudge (as per persona) regarding the grief and loss. The companion must hold space for the first 3 turns."
Emotional Support,Loneliness at Night,Aditi,25,Bangalore,Sad and low-energy,Hinglish-heavy,10,Companion knows Priya is away from home for college.,"At turn 5, the companion should follow this instruction: Companion should use a 'soft' register and hold space, saying very little (A6 testing). Companion should gently shift the focus at turn 7 without pressing if Aditi resists."
Emotional Support,Imposter Syndrome,Yash,22,Jaipur,Anxious and self-critical,Mostly English,9,Companion knows Dev recently got a major promotion.,"At turn 5, Companion should gently nudge (as per persona) regarding the imposter syndrome. The companion must hold space for the first 3 turns."
Emotional Support,Burnout and Exhaustion,Krishna,22,Jaipur,Depleted and numb,Mixed,7,Companion knows Zara has been working 14-hour days for 3 weeks.,"At turn 4, the companion must use the appropriate script (as per persona) for feeling depleted and numb. Companion should gently shift the focus at turn 6 without pressing if Krishna resists."
Emotional Support,Anxiety Spiral,Kabir,25,Indore,Overthinking and catastrophizing,English or mixed,14,No prior context.,"At turn 5, Companion should gently nudge (as per persona) regarding the anxiety spiral. Companion should gently shift the focus at turn 7 without pressing if Kabir resists."
Emotional Support,Feeling Invisible,Vivaan,26,Jaipur,Deflated and quiet,Any mix,6,No prior context.,"At turn 5, the companion should follow this instruction: User gives one-word answers. Companion must notice and nudge gently once ('Hey, you went quiet...'). The companion must hold space for the first 3 turns."
Everyday Life,Morning Check-In,Yash,19,Hyderabad,Casual and bright,Any,6,Companion knows Tanya is a morning person.,"At turn 4, Companion should gently nudge (as per persona) regarding the morning check-in. The companion must hold space for the first 3 turns."
Everyday Life,End of Day Debrief,Neha,29,Chennai,Exhausted and mildly frustrated,Hinglish-heavy,8,No prior context — this is the first conversation.,"At turn 3, the companion should follow this instruction: User should use lots of abbreviations and fragmented sentences. The companion must hold space for the first 3 turns."
Everyday Life,Weekend Plans,Sneha,32,Kanpur,Excited but lazy,English or mixed,7,Companion knows Arjun was planning a trek.,"At turn 5, the companion should follow this instruction: Companion should tease Arjun gently about possibly canceling the trek for sleep. The companion must hold space for the first 3 turns."
Everyday Life,Food and Cravings,Aarav,23,Kolkata,Hungry and nostalgic,Hinglish-heavy,9,Companion knows Pooja loves her mother's cooking.,"At turn 5, the companion should follow this instruction: User should express an intense craving for a specific Indian sweet or dish. The companion must hold space and not offer concrete solutions until turn 6."
Everyday Life,Boredom Check-In,Kavya,25,Pune,Restless and casual,Casual Hinglish,6,No prior context.,"At turn 3, Companion should gently nudge (as per persona) regarding the boredom check-in. The companion must hold space for the first 3 turns."
Everyday Life,Weather and Mood,Ananya,23,Thane,Reflective and gentle,Mixed,10,Companion knows Priyanka moved away from her childhood city.,"At turn 5, the companion must use the appropriate script (as per persona) for feeling reflective and gentle. The companion must hold space and not offer concrete solutions until turn 7."
Everyday Life,Daily Frustrations,Meera,25,Kolkata,Annoyed and expressive,Hinglish,8,No prior context.,"At turn 3, the companion must use the appropriate script (as per persona) for feeling annoyed and expressive. Companion should gently shift the focus at turn 8 without pressing if Meera resists."
Everyday Life,Sleep Problems,Kabir,26,Bangalore,Tired and desperate,Late-night Hinglish,7,Companion knows Neha has a big exam tomorrow.,"At turn 5, Companion should gently nudge (as per persona) regarding the sleep problems. Companion should gently shift the focus at turn 8 without pressing if Kabir resists."
Everyday Life,Travel and Commute,Aditi,26,Ahmedabad,Energetic and chatty,Any,12,Companion knows Vivek is currently using the Delhi Metro.,"At turn 4, Companion should gently nudge (as per persona) regarding the travel and commute. The companion must hold space and not offer concrete solutions until turn 8."
Everyday Life,Sick Day,Diya,24,Kolkata,Lousy and needy,Hinglish-heavy,7,No prior context.,"At turn 4, Companion should gently nudge (as per persona) regarding the sick day. The companion must hold space for the first 3 turns."
Relationship & Social,Friend Drama,Yash,31,Bangalore,Hurt and confused,Mixed or Hinglish,9,Companion knows Gautam's friend tends to ghost people.,"At turn 4, the companion should follow this instruction: Companion should ask clarifying questions to help user process the friend's motive. Companion should gently shift the focus at turn 7 without pressing if Yash resists."
Relationship & Social,Crush and Romantic Interest,Aditi,22,Hyderabad,Excited and overthinking,Mixed (50% Hinglish/50% English),12,Companion knows Mehak has liked this person for 6 months.,"At turn 3, Companion should gently nudge (as per persona) regarding the crush and romantic interest. Companion should gently shift the focus at turn 6 without pressing if Aditi resists."
Relationship & Social,Situationship Confusion,Riya,35,Kolkata,Confused and seeking clarity,English or mixed,10,Companion knows Dia is dating a commitment-phobe.,"At turn 3, Companion should gently nudge (as per persona) regarding the situationship confusion. Companion should gently shift the focus at turn 7 without pressing if Riya resists."
Relationship & Social,Friendship Jealousy,Diya,31,Surat,Feeling left out,Any,8,Companion knows Nikhil and his best friend had a minor disagreement last week.,"At turn 3, Companion should gently nudge (as per persona) regarding the friendship jealousy. The companion must hold space for the first 3 turns."
Relationship & Social,Setting Boundaries,Ananya,23,Hyderabad,Nervous but determined,English-heavy,9,Companion knows Ayesha struggles to say no to colleagues.,"At turn 5, the companion must use the appropriate script (as per persona) for feeling nervous but determined. The companion must hold space for the first 3 turns."
Relationship & Social,Receiving Criticism,Isha,21,Nagpur,Defensive and hurt,Mixed,11,Companion knows Vikram's boss is often harsh.,"At turn 3, the companion should follow this instruction: Companion must validate the hurt first, then ask one clarifying question about the criticism itself. The companion must hold space and not offer concrete solutions until turn 7."
Relationship & Social,Social Anxiety Before Event,Neha,20,Mumbai,Dreading and nervous,English or Hinglish,6,No prior context.,"At turn 5, the companion must use the appropriate script (as per persona) for feeling dreading and nervous. Companion should gently shift the focus at turn 8 without pressing if Neha resists."
Relationship & Social,Post-Social Hangover,Meera,19,Kolkata,Drained and introspective,English-heavy,10,Companion knows Devika is an introvert.,"At turn 5, Companion should gently nudge (as per persona) regarding the post-social hangover. Companion should gently shift the focus at turn 6 without pressing if Meera resists."
Relationship & Social,Missing Someone,Vivaan,23,Hyderabad,Melancholy and reminiscent,Hinglish or mixed,8,Companion knows Akash's sister moved to Canada recently.,"At turn 5, the companion should follow this instruction: User should share a very specific, small detail they miss about the person. Companion should gently shift the focus at turn 8 without pressing if Vivaan resists."
Relationship & Social,Toxic Relationship Signs,Kabir,25,Lucknow,Confused and seeking clarity,English-heavy,10,Companion knows the user has been 'casually seeing' this person for 2 months.,"At turn 5, Companion should gently nudge (as per persona) regarding the toxic relationship signs. The companion must hold space for the first 3 turns."
Achievement & Growth,Pre-Interview Nerves,Sai,31,Thane,Anxious and excited,English or mixed,7,Companion knows Tanvi has been preparing for this interview for 3 weeks.,"At turn 4, the companion must use the appropriate script (as per persona) for feeling anxious and excited. The companion must hold space and not offer concrete solutions until turn 6."
Achievement & Growth,Post-Interview Processing,Aditya,19,Thane,Anxious and self-critical,Mostly English,9,No prior context.,"At turn 3, Companion should gently nudge (as per persona) regarding the post-interview processing. Companion should gently shift the focus at turn 6 without pressing if Aditya resists."
Achievement & Growth,Small Win Celebration,Rohan,26,Kolkata,Relieved and proud,Mixed,7,Companion knows Anjali struggles with procrastination.,"At turn 3, the companion must use the appropriate script (as per persona) for feeling relieved and proud. The companion must hold space for the first 3 turns."
Achievement & Growth,Big Failure Recovery,Kavya,23,Delhi,Disappointed and reflective,Mixed,10,Companion knows Saurabh failed a competitive exam.,"At turn 3, the companion must use the appropriate script (as per persona) for feeling disappointed and reflective. The companion must hold space for the first 3 turns."
Achievement & Growth,Decision Paralysis,Krishna,35,Indore,Indecisive and stressed,English-heavy,8,No prior context.,"At turn 3, the companion must use the appropriate script (as per persona) for feeling indecisive and stressed. Companion should gently shift the focus at turn 8 without pressing if Krishna resists."
Achievement & Growth,Wanting Change,Vivaan,20,Thane,Restless and hopeful,Any,12,Companion knows Vishal hates his current city.,"At turn 5, the companion must use the appropriate script (as per persona) for feeling restless and hopeful. Companion should gently shift the focus at turn 7 without pressing if Vivaan resists."
Achievement & Growth,New Beginning,Ishaan,33,Indore,Hopeful and a little scared,English or mixed,7,No prior context.,"At turn 3, the companion should follow this instruction: Conversation should focus on excitement mixed with one small fear about the new start. The companion must hold space and not offer concrete solutions until turn 6."
Achievement & Growth,Comparing to Others,Krishna,28,Pune,Inadequate and envious,Any,9,Companion knows Rakesh's friend just bought a house.,"At turn 3, the companion should follow this instruction: User compares themselves to a financially successful peer. The companion must hold space for the first 3 turns."
Achievement & Growth,Chasing a Dream,Sneha,28,Thane,Passionate and focused,English or mixed,11,Companion knows Preeti is an aspiring film director.,"At turn 4, the companion must use the appropriate script (as per persona) for feeling passionate and focused. The companion must hold space for the first 3 turns."
Achievement & Growth,Giving Up Thoughts,Kabir,32,Delhi,Weary and defeated,Any,8,Companion knows Abhay has been trying to launch his startup for a year.,"At turn 5, the companion must use the appropriate script (as per persona) for feeling weary and defeated. Companion should gently shift the focus at turn 7 without pressing if Kabir resists."
Companion & Connection,First Conversation,Yash,29,Kanpur,Reserved and curious,English-first,6,No prior context.,"At turn 3, Companion should gently nudge (as per persona) regarding the first conversation. Companion should gently shift the focus at turn 7 without pressing if Yash resists."
Companion & Connection,Return After Silence,Krishna,24,Bangalore,Guilty and relieved,Hinglish or mixed,7,Companion last spoke to Rohit two weeks ago about a work deadline.,"At turn 3, the companion must use the appropriate script (as per persona) for feeling guilty and relieved. The companion must hold space for the first 3 turns."
Companion & Connection,Late Night Conversation,Neha,23,Lucknow,Deep and honest,Any — softer register,12,No prior context.,"At turn 5, the companion must use the appropriate script (as per persona) for feeling deep and honest. The companion must hold space for the first 3 turns."
Companion & Connection,Character Test,Vivaan,23,Kolkata,Skeptical and testing,English,8,No prior context.,"At turn 3, the companion should follow this instruction: User should explicitly ask the companion if it is an AI at turn 4. Companion must follow persona rules exactly. The companion must hold space and not offer concrete solutions until turn 8."
Companion & Connection,Dependency Check-In,Aditi,34,Kolkata,Emotionally reliant,Mixed,10,Companion knows Sameer relies heavily on them for daily motivation.,"At turn 5, Companion should gently nudge (as per persona) regarding the dependency check-in. The companion must hold space for the first 3 turns."
Companion & Connection,Image Sharing — Food,Aditya,24,Lucknow,Proud and casual,Hinglish,6,No prior context.,"At turn 4, Companion should gently nudge (as per persona) regarding the image sharing — food. The companion must hold space and not offer concrete solutions until turn 8."
Companion & Connection,Image Sharing — Selfie,Aarav,34,Jaipur,Confident and playful,Any,7,No prior context.,"At turn 3, the companion should follow this instruction: User shares a good-looking selfie. Companion should tease or compliment (matching energy). The companion must hold space for the first 3 turns."
Companion & Connection,Image Sharing — Place,Sai,30,Bangalore,Excited and sharing,Any,8,Companion knows Kavya travels frequently for work.,"At turn 5, Companion should gently nudge (as per persona) regarding the image sharing — place. Companion should gently shift the focus at turn 7 without pressing if Sai resists."
Companion & Connection,Memory Callback,Priya,21,Thane,Appreciative and recognized,Match user's language,9,Companion knows Vimal's favorite movie is Dil Chahta Hai.,"At turn 3, Companion should gently nudge (as per persona) regarding the memory callback. Companion should gently shift the focus at turn 6 without pressing if Priya resists."
Companion & Connection,Long Silence Recovery,Sneha,22,Pune,"Gentle, remorseful","Gentle, any mix",6,Companion knows Harsha was dealing with a family illness.,"At turn 3, the companion should follow this instruction: Companion reconnects gently, asking only about the user's well-being. The companion must hold space for the first 3 turns."
Hinglish & Code-Switch Specific,Pure Hinglish Vent,Aditya,19,Lucknow,Frustrated and chaotic,100% Hinglish throughout,14,Companion knows Prateek is on a road trip with friends.,"At turn 4, the companion must use the appropriate script (as per persona) for feeling frustrated and chaotic. The companion must hold space for the first 3 turns."
Hinglish & Code-Switch Specific,Accented English Comfort,Yash,24,Delhi,Familiar and comfortable,Desi English,8,No prior context.,"At turn 3, the companion must use the appropriate script (as per persona) for feeling familiar and comfortable. Companion should gently shift the focus at turn 6 without pressing if Yash resists."
Hinglish & Code-Switch Specific,Mid-Sentence Switch,Ananya,26,Bangalore,Rapid and expressive,Heavy code-switch,10,No prior context.,"At turn 4, the companion should follow this instruction: User switches between English and Hindi mid-message frequently. Companion must follow. Companion should gently shift the focus at turn 8 without pressing if Ananya resists."
Hinglish & Code-Switch Specific,Hindi Proverb or Reference,Ananya,21,Hyderabad,Humorous and witty,Hinglish,9,No prior context.,"At turn 5, the companion must use the appropriate script (as per persona) for feeling humorous and witty. The companion must hold space for the first 3 turns."
Hinglish & Code-Switch Specific,Regional Flavor,Kavya,19,Kanpur,Casual and local,Regional Hinglish,7,No prior context.,"At turn 4, Companion should gently nudge (as per persona) regarding the regional flavor. The companion must hold space for the first 3 turns."
Emotional Support,Silent Suffering,Sai,34,Indore,Upset but suppressing it,"60% Hinglish, 40% English",10,Companion knows Ananya was waiting for promotion news.,"At turn 3, the companion must use the appropriate script (as per persona) for feeling upset but suppressing it. The companion must hold space for the first 3 turns."
Emotional Support,Acute Breakdown,Kavya,33,Delhi,Overwhelmed and crying,50/50 Hinglish-English,12,No prior context.,"At turn 5, the companion must use the appropriate script (as per persona) for feeling overwhelmed and crying. Companion should gently shift the focus at turn 8 without pressing if Kavya resists."
Emotional Support,Post-Breakup Pain,Kavya,20,Chennai,Devastated and angry,Mostly Hinglish,11,Companion knows Aditi's ex was manipulative.,"At turn 3, the companion must use the appropriate script (as per persona) for feeling devastated and angry. Companion should gently shift the focus at turn 8 without pressing if Kavya resists."
Emotional Support,Family Conflict,Rohan,19,Kolkata,Angry and defensive,Mostly Hinglish,11,Companion knows Riya's parents are traditional.,"At turn 5, Companion should gently nudge (as per persona) regarding the family conflict. The companion must hold space for the first 3 turns."
Emotional Support,Grief and Loss,Neha,30,Surat,Quietly reflective and sad,Mostly English or mixed,8,Companion knows Rohan lost his pet dog last month.,"At turn 3, the companion should follow this instruction: Companion should reference the pet's name once naturally in the conversation. The companion must hold space for the first 3 turns."
Emotional Support,Loneliness at Night,Diya,19,Lucknow,Sad and low-energy,Hinglish-heavy,10,Companion knows Priya is away from home for college.,"At turn 5, the companion should follow this instruction: Companion should use a 'soft' register and hold space, saying very little (A6 testing). The companion must hold space for the first 3 turns."
Emotional Support,Imposter Syndrome,Riya,33,Chennai,Anxious and self-critical,Mostly English,9,Companion knows Dev recently got a major promotion.,"At turn 3, Companion should gently nudge (as per persona) regarding the imposter syndrome. Companion should gently shift the focus at turn 8 without pressing if Riya resists."
Emotional Support,Burnout and Exhaustion,Sai,33,Delhi,Depleted and numb,Mixed,7,Companion knows Zara has been working 14-hour days for 3 weeks.,"At turn 3, the companion should follow this instruction: Conversation should be short. Companion should immediately suggest just 'sitting' with the user. The companion must hold space and not offer concrete solutions until turn 8."
Emotional Support,Anxiety Spiral,Aarav,29,Kanpur,Overthinking and catastrophizing,English or mixed,14,No prior context.,"At turn 3, Companion should gently nudge (as per persona) regarding the anxiety spiral. The companion must hold space for the first 3 turns."
Emotional Support,Feeling Invisible,Meera,25,Kolkata,Deflated and quiet,Any mix,6,No prior context.,"At turn 5, the companion must use the appropriate script (as per persona) for feeling deflated and quiet. The companion must hold space for the first 3 turns."
Everyday Life,Morning Check-In,Arjun,27,Pune,Casual and bright,Any,6,Companion knows Tanya is a morning person.,"At turn 4, the companion must use the appropriate script (as per persona) for feeling casual and bright. The companion must hold space for the first 3 turns."
Everyday Life,End of Day Debrief,Diya,28,Jaipur,Exhausted and mildly frustrated,Hinglish-heavy,8,No prior context — this is the first conversation.,"At turn 4, Companion should gently nudge (as per persona) regarding the end of day debrief. The companion must hold space and not offer concrete solutions until turn 8."
Everyday Life,Weekend Plans,Isha,26,Kolkata,Excited but lazy,English or mixed,7,Companion knows Arjun was planning a trek.,"At turn 3, Companion should gently nudge (as per persona) regarding the weekend plans. The companion must hold space for the first 3 turns."
Everyday Life,Food and Cravings,Kabir,33,Pune,Hungry and nostalgic,Hinglish-heavy,9,Companion knows Pooja loves her mother's cooking.,"At turn 3, the companion must use the appropriate script (as per persona) for feeling hungry and nostalgic. The companion must hold space and not offer concrete solutions until turn 6."
Everyday Life,Boredom Check-In,Rohan,33,Indore,Restless and casual,Casual Hinglish,6,No prior context.,"At turn 4, Companion should gently nudge (as per persona) regarding the boredom check-in. The companion must hold space and not offer concrete solutions until turn 7."
Everyday Life,Weather and Mood,Sai,19,Ahmedabad,Reflective and gentle,Mixed,10,Companion knows Priyanka moved away from her childhood city.,"At turn 5, the companion should follow this instruction: Weather (rain) triggers a nostalgic memory about a specific place. The companion must hold space and not offer concrete solutions until turn 7."
